,coilable,sigma_crit,energy
456,1.0,27.61147276712673,
457,0.0,29.56844194738468,
458,1.0,26.456644500051947,22.07708256384787
459,0.0,3.15967125421478,
460,1.0,29.16737149079311,
461,0.0,49.56339575790568,
462,0.0,14.821781540262029,
463,0.0,94.67045310923828,
464,1.0,2.6749489595341034,10.55965998393988
465,1.0,47.65480968034767,
466,0.0,9.774405337022896,
467,0.0,78.39972496706764,
468,1.0,49.63342393286612,57.86628455585339
469,1.0,46.19695040162591,24.96284883165224
470,1.0,15.902761913742184,
471,1.0,3.250071261890976,7.138798406164333
472,1.0,82.71728026326458,39.50900660362214
473,0.0,16.778750720519977,
474,1.0,20.81492007733044,33.30221177416056
475,1.0,22.113624412960306,18.74779670078627
476,1.0,7.954436731778454,5.522424943774722
477,1.0,11.01148487868758,38.06021099446344
478,1.0,21.208351096653605,
479,1.0,30.16941101249968,
480,1.0,5.524968356469292,7.162330120389681
481,0.0,0.7724998965817179,0.7676939317297806
482,1.0,56.614596356649,69.60503055670111
483,0.0,18.27353394603906,
484,0.0,9.152682467328718,
485,1.0,8.755813701234768,
486,1.0,25.87986698628692,19.84324595497117
487,0.0,,
488,1.0,49.886798602268414,21.15520793759585
489,0.0,73.83770767828155,
490,1.0,7.917767432890082,
491,1.0,49.29092249533235,
492,1.0,71.49622015551358,38.67483393303412
493,0.0,25.660869784592467,
494,1.0,77.87387703509202,35.01315621982789
495,1.0,24.088418946844545,4.436700405703951
496,1.0,35.97538333649202,
497,1.0,7.826985453350466,22.070239134439262
498,1.0,37.514729946076834,26.167777951465915
499,0.0,25.72962472000817,
500,1.0,10.035164795784658,
501,1.0,94.5940587365542,37.22148459868525
502,1.0,12.562799939992903,3.879639629438522
503,0.0,54.57995956416222,
504,0.0,5.808009507263918,
505,0.0,24.83708379914881,
506,0.0,25.42150075018226,
507,1.0,85.53750585485295,
508,1.0,18.63895369537805,
509,0.0,17.412824013798083,
510,1.0,0.2027506651036273,
511,0.0,24.270492201741675,12.795826885896114
512,1.0,35.380780469100706,
513,1.0,17.691663474095087,15.392284538328465
514,1.0,0.1366949975227671,
515,0.0,46.84375609035137,
516,1.0,22.29569766785744,19.282250777366304
517,1.0,70.73227642867249,
518,0.0,6.516821961817984,4.234725514521606
519,0.0,70.52091866424645,
520,0.0,1.3022694063551246,
521,1.0,5.963472055676082,22.37042907481444
522,1.0,105.63431882895276,18.64822048966002
523,1.0,22.90685264933031,39.43673860931194
524,1.0,69.56089604751615,52.52320000576873
525,1.0,32.489253463007145,5.971633307767122
526,1.0,29.88547859402374,31.62519819625077
527,0.0,35.24836355644824,
528,1.0,14.046378657518314,
529,0.0,4.077422318059885,
530,1.0,12.98449687720919,28.09798917170916
531,0.0,44.90843198235392,
532,0.0,40.95120347731704,
533,0.0,54.19034826347326,
534,1.0,14.968204087906573,
535,1.0,63.99556599747874,31.99990493216104
536,1.0,14.709736460325336,19.749274325624988
537,1.0,163.10198568057436,64.07527878104453
538,0.0,27.64075727665565,
539,0.0,51.778832565744864,
540,1.0,3.765605953554244,4.874397186062671
541,1.0,51.32555928781915,22.05488835384432
542,1.0,45.009017906388,
543,1.0,4.427817840771002,
544,1.0,5.0918122633503895,9.53678765876179
545,1.0,50.05359298262872,
546,0.0,0.1305325181262488,
547,1.0,89.49346112034512,18.70153447819296
548,1.0,36.505050987101846,
549,1.0,30.62905048814908,27.503024679078177
550,1.0,12.081515392083013,
551,0.0,21.23381588754831,
552,1.0,0.292323067075746,13.436832495466083
553,0.0,51.86159313615265,
554,1.0,13.040519417177537,
555,0.0,71.6197243913529,
556,0.0,6.190363342547888,
557,1.0,83.2609535488665,27.01135533381488
558,1.0,27.487968531287425,
559,1.0,17.212925405274664,32.7930385400538
560,1.0,107.97707959126546,16.145525290329978
561,1.0,26.46301069777562,
562,1.0,24.79634013371729,
563,1.0,8.79070046476051,
564,1.0,21.605601834610976,
565,0.0,4.968817323328972,2.298735608097464
566,1.0,47.07039272931423,59.28540977500087
567,0.0,63.350033548298015,
568,1.0,28.50656016707556,
569,1.0,10.005752962301274,11.597656557994162
570,0.0,152.43223829569368,
571,0.0,3.0342571590583662,2.302288870930985
572,1.0,24.98605282588284,
573,1.0,76.12189942153644,
574,1.0,4.759751390083459,6.175199884077671
575,1.0,22.076700466162983,
576,0.0,10.782174436680778,
577,1.0,116.55362116460152,34.20725146068068
578,1.0,43.77142906890542,14.743713115253136
579,0.0,121.8579371079682,
580,1.0,33.98785640716044,
581,0.0,11.05528431902647,
582,1.0,6.810431000833912,
583,1.0,8.993527524236821,12.55471530179174
584,1.0,47.0436546988748,
585,0.0,27.167112166014167,
586,0.0,,
587,0.0,20.077714380928786,
588,1.0,21.39933702836388,
589,1.0,31.44519703632432,36.123706899205786
590,0.0,14.679178711251692,
591,0.0,105.01170469157728,
592,0.0,38.164082113891766,
593,1.0,1.9029838235611745,
594,0.0,19.625714342547795,
595,1.0,36.53560873617549,26.40444630217436
596,1.0,20.360373559859987,
597,0.0,76.4465755054439,
598,1.0,69.92631579685514,77.8541135066489
599,0.0,23.971280908728907,
600,1.0,26.33950646193631,28.88213401255118
601,0.0,23.53328650534001,
602,1.0,33.93820006491576,
603,1.0,5.172281002577652,15.581100999246118
604,0.0,11.531730556666368,
605,0.0,37.25880879758507,
606,1.0,24.556971099307084,
607,1.0,81.05697589692993,30.99113087988414
608,0.0,26.05812052254984,
609,0.0,12.86608559954882,
610,1.0,34.559540962746524,64.14504648423588
611,1.0,29.060419369035355,
612,1.0,1.6329297161228462,
613,1.0,49.61177886060561,40.9246739701312
614,1.0,19.973308738260496,
615,1.0,58.59957680689113,
616,1.0,51.70625791169496,19.21234206578007
617,1.0,25.13374861307211,47.33645742753161
618,0.0,16.009714035499933,9.01341398186876
619,1.0,6.701696343713529,23.630706572102547
620,1.0,42.29574443655737,33.2849349721772
621,0.0,25.29672327479821,10.553179188607125
622,1.0,7.8339882708465085,
623,0.0,2.826973761175481,
